FEN,Evaluation
r1b2rk1/1pppnpbp/p4qp1/8/2B1P3/2NQ4/PPP2PPP/R1B2RK1 w - - 6 11,+143
r1b2rk1/1pppnpbp/p4qp1/8/2B1P3/2N3Q1/PPP2PPP/R1B2RK1 b - - 7 11,+96
r1b2rk1/1pppnpbp/pq4p1/8/2B1P3/2N3Q1/PPP2PPP/R1B2RK1 w - - 8 12,+112
r1b2rk1/1pppnpbp/pq4p1/8/4P3/1BN3Q1/PPP2PPP/R1B2RK1 b - - 9 12,+88
r1b2rk1/1pppnpbp/p5p1/q7/4P3/1BN3Q1/PPP2PPP/R1B2RK1 w - - 10 13,+284
r1b2rk1/1pppnpbp/p5p1/q7/4P2Q/1BN5/PPP2PPP/R1B2RK1 b - - 11 13,+236
r1b1r1k1/1pppnpbp/p5p1/q7/4P2Q/1BN5/PPP2PPP/R1B2RK1 w - - 12 14,+297
r1b1r1k1/1pppnpbp/p5p1/q5B1/4P2Q/1BN5/PPP2PPP/R4RK1 b - - 13 14,+263
r1b1r1k1/1pppnpbp/p5p1/4q1B1/4P2Q/1BN5/PPP2PPP/R4RK1 w - - 14 15,+325
r1b1r1k1/1pppnpbp/p5p1/4q1B1/4PP1Q/1BN5/PPP3PP/R4RK1 b - - 0 15,+220
r1b1r1k1/1pppnpbp/p5p1/2q3B1/4PP1Q/1BN5/PPP3PP/R4RK1 w - - 1 16,+323
r1b1r1k1/1pppnpbp/p5p1/2q3B1/4PP1Q/1BN5/PPP3PP/R4R1K b - - 2 16,+246
r1b1r1k1/1pp1npbp/p5p1/2qp2B1/4PP1Q/1BN5/PPP3PP/R4R1K w - - 0 17,+352
r1b1r1k1/1pp1npbp/p5p1/2qp2B1/4PP1Q/1BN5/PPP3PP/4RR1K b - - 1 17,+347
r3r1k1/1ppbnpbp/p5p1/2qp2B1/4PP1Q/1BN5/PPP3PP/4RR1K w - - 2 18,+351
r3r1k1/1ppbBpbp/p5p1/2qp4/4PP1Q/1BN5/PPP3PP/4RR1K b - - 0 18,+305
r5k1/1ppbrpbp/p5p1/2qp4/4PP1Q/1BN5/PPP3PP/4RR1K w - - 0 19,+393
r5k1/1ppbrpbp/p5p1/2qN4/4PP1Q/1B6/PPP3PP/4RR1K b - - 0 19,+240
r3r1k1/1ppb1pbp/p5p1/2qN4/4PP1Q/1B6/PPP3PP/4RR1K w - - 1 20,+327
r3r1k1/1ppb1pbp/p5p1/2qN1P2/4P2Q/1B6/PPP3PP/4RR1K b - - 0 20,+278
r3r2k/1ppb1pbp/p5p1/2qN1P2/4P2Q/1B6/PPP3PP/4RR1K w - - 1 21,+1172
r3r2k/1ppb1pbp/p4Np1/2q2P2/4P2Q/1B6/PPP3PP/4RR1K b - - 2 21,+1297
r2q1rk1/1b2bppp/p2p1n2/npp1p3/3PP3/2P2N1P/PPB2PP1/RNBQR1K1 w - - 1 12,+93
r2q1rk1/1b2bppp/p2p1n2/npp1p3/3PP3/2P2N1P/PPBN1PP1/R1BQR1K1 b - - 2 12,-41
r2q1rk1/1b2bppp/p2p1n2/np2p3/3pP3/2P2N1P/PPBN1PP1/R1BQR1K1 w - - 0 13,+73
r2q1rk1/1b2bppp/p2p1n2/np2p3/3PP3/5N1P/PPBN1PP1/R1BQR1K1 b - - 0 13,-22
2rq1rk1/1b2bppp/p2p1n2/np2p3/3PP3/5N1P/PPBN1PP1/R1BQR1K1 w - - 1 14,+112
2rq1rk1/1b2bppp/p2p1n2/np1Pp3/4P3/5N1P/PPBN1PP1/R1BQR1K1 b - - 0 14,+92
2rq1rk1/1b2bppp/p2p4/np1Pp2n/4P3/5N1P/PPBN1PP1/R1BQR1K1 w - - 1 15,+144
2rq1rk1/1b2bppp/p2p4/np1Pp2n/4P3/1N3N1P/PPB2PP1/R1BQR1K1 b - - 2 15,+21
2rq1rk1/1b2bppp/p2p4/1p1Pp2n/2n1P3/1N3N1P/PPB2PP1/R1BQR1K1 w - - 3 16,+88
2rq1rk1/1b2bppp/p2p4/1p1Pp2n/P1n1P3/1N3N1P/1PB2PP1/R1BQR1K1 b - - 0 16,-3
2r2rk1/1bq1bppp/p2p4/1p1Pp2n/P1n1P3/1N3N1P/1PB2PP1/R1BQR1K1 w - - 1 17,+56
2r2rk1/1bq1bppp/p2p4/1p1Pp2n/P1n1P3/1N3N1P/1P3PP1/RBBQR1K1 b - - 2 17,+21
2r2rk1/1bq1bp1p/p2p2p1/1p1Pp2n/P1n1P3/1N3N1P/1P3PP1/RBBQR1K1 w - - 0 18,+95
2r2rk1/1bq1bp1p/p2p2p1/1p1Pp2n/P1n1P3/5N1P/1P1N1PP1/RBBQR1K1 b - - 1 18,+38
1r3rk1/1bq1bp1p/p2p2p1/1p1Pp2n/P1n1P3/5N1P/1P1N1PP1/RBBQR1K1 w - - 2 19,+148
1r3rk1/1bq1bp1p/p2p2p1/1p1Pp2n/P1n1P3/1P3N1P/3N1PP1/RBBQR1K1 b - - 0 19,+23
1r3rk1/1bq1bp1p/p2p2p1/1p1Pp2n/P3P3/1P3N1P/3n1PP1/RBBQR1K1 w - - 0 20,+109
1r3rk1/1bq1bp1p/p2p2p1/1p1Pp2n/P3P3/1P3N1P/3B1PP1/RB1QR1K1 b - - 0 20,+61
1rb2rk1/2q1bp1p/p2p2p1/1p1Pp2n/P3P3/1P3N1P/3B1PP1/RB1QR1K1 w - - 1 21,+130
1rb2rk1/2q1bp1p/p2p2p1/1P1Pp2n/4P3/1P3N1P/3B1PP1/RB1QR1K1 b - - 0 21,+79
1rb2rk1/2q1bp1p/3p2p1/1p1Pp2n/4P3/1P3N1P/3B1PP1/RB1QR1K1 w - - 0 22,+124
1rb2rk1/2q1bp1p/3p2p1/1p1Pp2n/4P3/1P3N1P/3B1PP1/RBQ1R1K1 b - - 1 22,+84
1rb2rk1/1q2bp1p/3p2p1/1p1Pp2n/4P3/1P3N1P/3B1PP1/RBQ1R1K1 w - - 2 23,+129
1rb2rk1/1q2bp1p/3p2p1/1p1Pp2n/4P3/1P2BN1P/5PP1/RBQ1R1K1 b - - 3 23,+132
r1b2rk1/1q2bp1p/3p2p1/1p1Pp2n/4P3/1P2BN1P/5PP1/RBQ1R1K1 w - - 4 24,+203
R1b2rk1/1q2bp1p/3p2p1/1p1Pp2n/4P3/1P2BN1P/5PP1/1BQ1R1K1 b - - 0 24,+247
q1b2rk1/4bp1p/3p2p1/1p1Pp2n/4P3/1P2BN1P/5PP1/1BQ1R1K1 w - - 0 25,+266
q1b2rk1/2Q1bp1p/3p2p1/1p1Pp2n/4P3/1P2BN1P/5PP1/1B2R1K1 b - - 1 25,+270
q1b1r1k1/2Q1bp1p/3p2p1/1p1Pp2n/4P3/1P2BN1P/5PP1/1B2R1K1 w - - 2 26,+253
q1b1r1k1/2Q1bp1p/3p2p1/1p1Pp2n/4P3/1P1BBN1P/5PP1/4R1K1 b - - 3 26,+212
2b1r1k1/2Q1bp1p/q2p2p1/1p1Pp2n/4P3/1P1BBN1P/5PP1/4R1K1 w - - 4 27,+234
2b1r1k1/2Q1bp1p/q2p2p1/1p1Pp2n/4P3/1P1BBN1P/5PP1/2R3K1 b - - 5 27,+259
2b1r1k1/2Q1bp1p/q2p1np1/1p1Pp3/4P3/1P1BBN1P/5PP1/2R3K1 w - - 6 28,+322
2b1r1k1/2Q1bp1p/q2p1np1/1p1Pp1B1/4P3/1P1B1N1P/5PP1/2R3K1 b - - 7 28,+176
2b1r3/2Q1bpkp/q2p1np1/1p1Pp1B1/4P3/1P1B1N1P/5PP1/2R3K1 w - - 8 29,+346
2b1r3/2Q1bpkp/q1Rp1np1/1p1Pp1B1/4P3/1P1B1N1P/5PP1/6K1 b - - 9 29,+299
2b1r3/2Q1bpkp/2Rp1np1/1p1Pp1B1/4P3/1P1B1N1P/5PP1/q5K1 w - - 10 30,+413
2b1r3/2Q1bpkp/2Rp1np1/1p1Pp1B1/4P3/1P1B1N1P/5PPK/q7 b - - 11 30,+408
2b1r3/2Q1bpkp/2Rp1np1/1p1Pp1B1/4P3/1P1B1N1P/5PPK/3q4 w - - 12 31,+744
2b1r3/2Q1bpkp/2Rp1Bp1/1p1Pp3/4P3/1P1B1N1P/5PPK/3q4 b - - 0 31,+552
2b1r3/2Q1bp1p/2Rp1kp1/1p1Pp3/4P3/1P1B1N1P/5PPK/3q4 w - - 0 32,+782
2b1r3/2Q1bp1p/2Rp1kp1/1B1Pp3/4P3/1P3N1P/5PPK/3q4 b - - 0 32,+756
2br4/2Q1bp1p/2Rp1kp1/1B1Pp3/4P3/1P3N1P/5PPK/3q4 w - - 1 33,+780
2br4/2Q1bp1p/3p1kp1/1B1Pp3/4P3/1PR2N1P/5PPK/3q4 b - - 2 33,+941
2br4/2Q1bp1p/3p1k2/1B1Pp1p1/4P3/1PR2N1P/5PPK/3q4 w - - 0 34,+1451
2br4/2Q1bp1p/3p1k2/1B1Pp1N1/4P3/1PR4P/5PPK/3q4 b - - 0 34,+1528
2r2rk1/2qbbppp/p2p1n2/np2p3/3PP3/4NN1P/PPB2PP1/R1BQR1K1 b - - 2 15,+48
2r2rk1/2qbbppp/p1np1n2/1p2p3/3PP3/4NN1P/PPB2PP1/R1BQR1K1 w - - 3 16,+83
2r2rk1/2qbbppp/p1np1n2/1p1Pp3/4P3/4NN1P/PPB2PP1/R1BQR1K1 b - - 0 16,+56
2r2rk1/2qbbppp/p2p1n2/1p1Pp3/1n2P3/4NN1P/PPB2PP1/R1BQR1K1 w - - 1 17,+82
2r2rk1/2qbbppp/p2p1n2/1p1Pp3/1n2P3/4NN1P/PP3PP1/RBBQR1K1 b - - 2 17,+23
2r2rk1/2qbbppp/3p1n2/pp1Pp3/1n2P3/4NN1P/PP3PP1/RBBQR1K1 w - - 0 18,+111
2r2rk1/2qbbppp/3p1n2/pp1Pp3/1n2P3/P3NN1P/1P3PP1/RBBQR1K1 b - - 0 18,+45
2r2rk1/2qbbppp/n2p1n2/pp1Pp3/4P3/P3NN1P/1P3PP1/RBBQR1K1 w - - 1 19,+95
2r2rk1/2qbbppp/n2p1n2/pp1Pp3/1P2P3/P3NN1P/5PP1/RBBQR1K1 b - - 0 19,+44
2r2rk1/2qbbp1p/n2p1np1/pp1Pp3/1P2P3/P3NN1P/5PP1/RBBQR1K1 w - - 0 20,+83
2r2rk1/2qbbp1p/n2p1np1/pp1Pp3/1P2P3/P3NN1P/3B1PP1/RB1QR1K1 b - - 1 20,+48
2r2rk1/2qbbp1p/n2p1np1/1p1Pp3/1p2P3/P3NN1P/3B1PP1/RB1QR1K1 w - - 0 21,+96
2r2rk1/2qbbp1p/n2p1np1/1p1Pp3/1P2P3/4NN1P/3B1PP1/RB1QR1K1 b - - 0 21,+69
2r2rk1/1q1bbp1p/n2p1np1/1p1Pp3/1P2P3/4NN1P/3B1PP1/RB1QR1K1 w - - 1 22,+84
2r2rk1/1q1bbp1p/n2p1np1/1p1Pp3/1P2P3/4N2P/3B1PPN/RB1QR1K1 b - - 2 22,+63
2r2rk1/1qnbbp1p/3p1np1/1p1Pp3/1P2P3/4N2P/3B1PPN/RB1QR1K1 w - - 3 23,+94
rn1qkb1r/p1pp1ppp/bp2pn2/8/2PP4/P4N2/1P1NPPPP/R1BQKB1R b KQkq - 2 5,-18
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/P4N2/1P1NPPPP/R1BQKB1R w KQkq - 3 6,+46
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/P4N2/1PQNPPPP/R1B1KB1R b KQkq - 4 6,-36
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/P4N2/1PQNPPPP/R1B1KB1R w KQkq - 0 7,+81
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PPP3/P4N2/1PQN1PPP/R1B1KB1R b KQkq - 0 7,-26
rn1qkb1r/pb1p1ppp/1p2pn2/8/2PpP3/P4N2/1PQN1PPP/R1B1KB1R w KQkq - 0 8,+24
rn1qkb1r/pb1p1ppp/1p2pn2/4P3/2Pp4/P4N2/1PQN1PPP/R1B1KB1R b KQkq - 0 8,-47
rn1qkb1r/pb1p1ppp/1p2p3/4P3/2Pp2n1/P4N2/1PQN1PPP/R1B1KB1R w KQkq - 1 9,+73
rn1qkb1r/pb1p1ppp/1p2p3/4P3/2Pp2n1/P4N1P/1PQN1PP1/R1B1KB1R b KQkq - 0 9,+13
rn1qkb1r/pb1p1ppp/1p2p2n/4P3/2Pp4/P4N1P/1PQN1PP1/R1B1KB1R w KQkq - 1 10,+61
rn1qkb1r/pb1p1ppp/1p2p2n/4P3/2PpN3/P4N1P/1PQ2PP1/R1B1KB1R b KQkq - 2 10,-39
rn1qkb1r/pb1p1ppp/1p2p3/4Pn2/2PpN3/P4N1P/1PQ2PP1/R1B1KB1R w KQkq - 3 11,+69
rn1qkb1r/pb1p1ppp/1p2p3/4Pn2/2PpN1P1/P4N1P/1PQ2P2/R1B1KB1R b KQkq - 0 11,-136
rn1qkb1r/pb1p1ppp/1p2p3/4P3/2PpN1Pn/P4N1P/1PQ2P2/R1B1KB1R w KQkq - 1 12,+171
rn1qkb1r/pb1p1ppp/1p2p3/4P3/2PpN1PN/P6P/1PQ2P2/R1B1KB1R b KQkq - 0 12,+67
rn2kb1r/pb1p1ppp/1p2p3/4P3/2PpN1Pq/P6P/1PQ2P2/R1B1KB1R w KQkq - 0 13,+126
rn2kb1r/pb1p1ppp/1p2p3/4P1B1/2PpN1Pq/P6P/1PQ2P2/R3KB1R b KQkq - 1 13,+81
rn2kb1r/p2p1ppp/1p2p3/4P1B1/2Ppb1Pq/P6P/1PQ2P2/R3KB1R w KQkq - 0 14,+120
rn2kb1r/p2p1ppp/1p2p3/4P1B1/2PpQ1Pq/P6P/1P3P2/R3KB1R b KQkq - 0 14,+88
rn2kb1r/p2p1ppp/1p2p3/4P1q1/2PpQ1P1/P6P/1P3P2/R3KB1R w KQkq - 0 15,+100
rn2kb1r/p2p1ppp/1p2p3/4P1q1/2PpQ1PP/P7/1P3P2/R3KB1R b KQkq - 0 15,+88
rn1qkb1r/p2p1ppp/1p2p3/4P3/2PpQ1PP/P7/1P3P2/R3KB1R w KQkq - 1 16,+120
Qn1qkb1r/p2p1ppp/1p2p3/4P3/2Pp2PP/P7/1P3P2/R3KB1R b KQk - 0 16,+69
Qn2kb1r/p1qp1ppp/1p2p3/4P3/2Pp2PP/P7/1P3P2/R3KB1R w KQk - 1 17,+108
1n2kb1r/p1qp1ppp/1p2p3/4P3/2PpQ1PP/P7/1P3P2/R3KB1R b KQk - 2 17,+82
4kb1r/p1qp1ppp/1pn1p3/4P3/2PpQ1PP/P7/1P3P2/R3KB1R w KQk - 3 18,+136
4kb1r/p1qp1ppp/1pn1p3/4P3/2PpQPPP/P7/1P6/R3KB1R b KQk - 0 18,+106
4k2r/p1qpbppp/1pn1p3/4P3/2PpQPPP/P7/1P6/R3KB1R w KQk - 1 19,+199
4k2r/p1qpbppp/1pn1p3/4P3/1PPpQPPP/P7/8/R3KB1R b KQk - 0 19,+76
4k2r/p1qpbpp1/1pn1p3/4P2p/1PPpQPPP/P7/8/R3KB1R w KQk - 0 20,+105
4k2r/p1qpbpp1/1pn1p3/4P1Pp/1PPpQP1P/P7/8/R3KB1R b KQk - 0 20,+90
4k2r/p1qpbp2/1pn1p1p1/4P1Pp/1PPpQP1P/P7/8/R3KB1R w KQk - 0 21,+105
4k2r/p1qpbp2/1pn1p1p1/4P1Pp/1PPpQP1P/P7/6B1/R3K2R b KQk - 1 21,+19
5rk1/p1qpbp2/1pn1p1p1/4P1Pp/1PPpQP1P/P7/6B1/R3K2R w KQ - 2 22,+52
5rk1/p1qpbp2/1pn1p1p1/4P1Pp/1PPpQP1P/P6R/6B1/R3K3 b Q - 3 22,+20
2r3k1/p1qpbp2/1pn1p1p1/4P1Pp/1PPpQP1P/P6R/6B1/R3K3 w Q - 4 23,+61
2r3k1/p1qpbp2/1pn1p1p1/4P1Pp/1PPpQP1P/P6R/6B1/2R1K3 b - - 5 23,0
2r2bk1/p1qp1p2/1pn1p1p1/4P1Pp/1PPpQP1P/P6R/6B1/2R1K3 w - - 6 24,+61
2r2bk1/p1qp1p2/1pn1p1p1/4P1Pp/1PPpQP1P/P2R4/6B1/2R1K3 b - - 7 24,+90
2r2bk1/2qp1p2/1pn1p1p1/p3P1Pp/1PPpQP1P/P2R4/6B1/2R1K3 w - - 0 25,+117
2r2bk1/2qp1p2/1pn1p1p1/pP2P1Pp/2PpQP1P/P2R4/6B1/2R1K3 b - - 0 25,+84
2r2bk1/2qpnp2/1p2p1p1/pP2P1Pp/2PpQP1P/P2R4/6B1/2R1K3 w - - 1 26,+119
2r2bk1/2qpnp2/1p2p1p1/pP2P1Pp/2PpQP1P/P2R3B/8/2R1K3 b - - 2 26,+49
2r2bk1/2q1np2/1p2p1p1/pP1pP1Pp/2PpQP1P/P2R3B/8/2R1K3 w - d6 0 27,+124
2r2bk1/2q1np2/1p1Pp1p1/pP4Pp/2PpQP1P/P2R3B/8/2R1K3 b - - 0 27,0
2r2bk1/4np2/1p1qp1p1/pP4Pp/2PpQP1P/P2R3B/8/2R1K3 w - - 0 28,+134
2r2bk1/4np2/1p1qp1p1/pP4Pp/2PQ1P1P/P2R3B/8/2R1K3 b - - 0 28,+38
2r2bk1/2q1np2/1p2p1p1/pP4Pp/2PQ1P1P/P2R3B/8/2R1K3 w - - 1 29,+112
2r2bk1/2q1np2/1p2p1p1/pP4Pp/2P1QP1P/P2R3B/8/2R1K3 b - - 2 29,+30
2r2bk1/2q2p2/1p2p1p1/pP3nPp/2P1QP1P/P2R3B/8/2R1K3 w - - 3 30,+191
2r2bk1/2q2p2/1p2p1p1/pP3BPp/2P1QP1P/P2R4/8/2R1K3 b - - 0 30,+145
2r2bk1/2q2p2/1p4p1/pP3pPp/2P1QP1P/P2R4/8/2R1K3 w - - 0 31,+129
2r2bk1/2q2p2/1p4p1/pP2QpPp/2P2P1P/P2R4/8/2R1K3 b - - 1 31,+57
2r2bk1/1q3p2/1p4p1/pP2QpPp/2P2P1P/P2R4/8/2R1K3 w - - 2 32,+84
2r2bk1/1q3p2/1p4p1/pP2QpPp/2P2P1P/P2R4/5K2/2R5 b - - 3 32,+98
q1r2bk1/5p2/1p4p1/pP2QpPp/2P2P1P/P2R4/5K2/2R5 w - - 4 33,+101
q1r2bk1/5p2/1p4p1/pP2QpPp/2P2P1P/P2R2K1/8/2R5 b - - 5 33,+103
q3rbk1/5p2/1p4p1/pP2QpPp/2P2P1P/P2R2K1/8/2R5 w - - 6 34,+175
q3rbk1/5p2/1p4p1/pP1Q1pPp/2P2P1P/P2R2K1/8/2R5 b - - 7 34,+126
1q2rbk1/5p2/1p4p1/pP1Q1pPp/2P2P1P/P2R2K1/8/2R5 w - - 8 35,+137
1q2rbk1/5p2/1p4p1/pP1Q1pPp/2P2P1P/P2R2K1/8/5R2 b - - 9 35,+73
1q2r1k1/5p2/1p4p1/pPbQ1pPp/2P2P1P/P2R2K1/8/5R2 w - - 10 36,+187
1q2r1k1/5p2/1p4p1/pPbQ1pPp/P1P2P1P/3R2K1/8/5R2 b - - 0 36,+70
1q2r3/5pk1/1p4p1/pPbQ1pPp/P1P2P1P/3R2K1/8/5R2 w - - 1 37,+53
1q2r3/5pk1/1pQ3p1/pPb2pPp/P1P2P1P/3R2K1/8/5R2 b - - 2 37,+19
1q6/5pk1/1pQ1r1p1/pPb2pPp/P1P2P1P/3R2K1/8/5R2 w - - 3 38,+42
1q6/3Q1pk1/1p2r1p1/pPb2pPp/P1P2P1P/3R2K1/8/5R2 b - - 4 38,0
q7/3Q1pk1/1p2r1p1/pPb2pPp/P1P2P1P/3R2K1/8/5R2 w - - 5 39,+50
q7/3Q1pk1/1p2r1p1/pPbR1pPp/P1P2P1P/6K1/8/5R2 b - - 6 39,0
q7/3Q1pk1/1p2r1p1/pP1R1pPp/PbP2P1P/6K1/8/5R2 w - - 7 40,+277
q7/3Q1pk1/1p2r1p1/pP1R1pPp/PbP2P1P/8/5K2/5R2 b - - 8 40,0
1q6/3Q1pk1/1p2r1p1/pP1R1pPp/PbP2P1P/8/5K2/5R2 w - - 9 41,+137
1q6/3Q1pk1/1p2r1p1/pP1R1pPp/PbP2P1P/6K1/8/5R2 b - - 10 41,+23
1q6/3Q1pk1/1p1br1p1/pP1R1pPp/P1P2P1P/6K1/8/5R2 w - - 11 42,+14
1q6/3Q1pk1/1p1br1p1/pP3pPp/P1P2P1P/3R2K1/8/5R2 b - - 12 42,0
q7/3Q1pk1/1p1br1p1/pP3pPp/P1P2P1P/3R2K1/8/5R2 w - - 13 43,+115
q7/3Q1pk1/1p1br1p1/pP1R1pPp/P1P2P1P/6K1/8/5R2 b - - 14 43,0
1q6/3Q1pk1/1p1br1p1/pP3pPp/P1PR1P1P/6K1/8/5R2 b - - 16 44,+1
q7/3Q1pk1/1p1br1p1/pP3pPp/P1PR1P1P/6K1/8/5R2 w - - 17 45,+172
q7/3Q1pk1/1p1br1p1/pP3pPp/P1PR1P1P/5RK1/8/8 b - - 18 45,+127
1q6/3Q1pk1/1p1br1p1/pP3pPp/P1PR1P1P/5RK1/8/8 w - - 19 46,+284
1q6/3Q1pk1/1p1br1p1/pP3pPp/P1PR1P1P/3R2K1/8/8 b - - 20 46,+155
1q6/2bQ1pk1/1p2r1p1/pP3pPp/P1PR1P1P/3R2K1/8/8 w - - 21 47,+315
1q6/2bQ1pk1/1p2r1p1/pP3pPp/P1PR1P1P/3R4/5K2/8 b - - 22 47,+226
1q6/3Q1pk1/1p2r1p1/pP2bpPp/P1PR1P1P/3R4/5K2/8 w - - 23 48,+323
1q6/3Q1pk1/1p2r1p1/pP1RbpPp/P1P2P1P/3R4/5K2/8 b - - 24 48,+207
1q6/3Q1pk1/1p2r1p1/pP1R1pPp/P1P2P1P/3R4/1b3K2/8 w - - 25 49,+221
1q6/3Q1pk1/1p2r1p1/pP1R1pPp/P1P2P1P/3R2K1/1b6/8 b - - 26 49,+181
1q6/3Q1pk1/1p4p1/pP1R1pPp/P1P1rP1P/3R2K1/1b6/8 w - - 27 50,+238
1q6/5pk1/1p1Q2p1/pP1R1pPp/P1P1rP1P/3R2K1/1b6/8 b - - 28 50,0
4q3/5pk1/1p1Q2p1/pP1R1pPp/P1P1rP1P/3R2K1/1b6/8 w - - 29 51,0
4q3/5pk1/1Q4p1/pP1R1pPp/P1P1rP1P/3R2K1/1b6/8 b - - 0 51,0
4q3/5pk1/1Q4p1/pP1R1pPp/P1P2P1P/3R2K1/1b2r3/8 w - - 1 52,+493
4q3/3R1pk1/1Q4p1/pP3pPp/P1P2P1P/3R2K1/1b2r3/8 b - - 2 52,+370
4q3/3R1pk1/1Q4p1/pP3pPp/P1P2P1P/3R2K1/1br5/8 w - - 3 53,+765
4q3/3R1pk1/6p1/pP3pPp/P1P2P1P/3RQ1K1/1br5/8 b - - 4 53,+864
q7/3R1pk1/6p1/pP3pPp/P1P2P1P/3RQ1K1/1br5/8 w - - 5 54,+1039
q7/3R1pk1/6p1/pP3pPp/P1P2P1P/4Q1K1/1brR4/8 b - - 6 54,+1225
q7/3R1pk1/6p1/pP3pPp/P1P2P1P/2r1Q1K1/1b1R4/8 w - - 7 55,+1234
q7/5pk1/6p1/pP3pPp/P1P2P1P/2rRQ1K1/1b1R4/8 b - - 8 55,+1229
q7/5pk1/6p1/pP3pPp/P1r2P1P/3RQ1K1/1b1R4/8 w - - 0 56,+1334
q7/5pk1/6p1/pP3pPp/P1r2P1P/3RQ1K1/1R6/8 b - - 0 56,+2056
8/5pk1/6p1/pP3pPp/P1r2P1P/3RQ1K1/1R6/7q w - - 1 57,#+8
3R4/5pk1/6p1/pP3pPp/P1r2P1P/4Q1K1/1R6/7q b - - 2 57,+6941
3R4/5p1k/6p1/pP3pPp/P1r2P1P/4Q1K1/1R6/7q w - - 3 58,#+7
3R4/5p1k/6p1/pP3pPp/P1r2P1P/4Q1K1/7R/7q b - - 4 58,+1395
3R4/5p1k/6p1/pP3pPp/P1r2P1P/4Q1K1/7R/q7 w - - 5 59,+1191
3R4/5p1k/6p1/pP3pPp/P1r2P1P/4Q1K1/3R4/q7 b - - 6 59,+1561
3R4/5p1k/6p1/pP3pPp/P3rP1P/4Q1K1/3R4/q7 w - - 7 60,+1276
3R4/5p1k/6p1/pP3pPp/P3rP1P/6K1/3R1Q2/q7 b - - 8 60,+1787
3R4/5p1k/6p1/pP3pPp/P4P1P/6K1/3R1Q2/q3r3 w - - 9 61,+2522
3R4/5p1k/6p1/pP3pPp/P4P1P/8/3R1QK1/q3r3 b - - 10 61,+2372
rnbqkb1r/p1pppppp/1p3n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,+41
rnbqkb1r/p1pppppp/1p3n2/8/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 0 3,+24
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq - 1 6,+30
rn1qk2r/pb1pbppp/1p2pn2/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 2 7,+58
rn1qk2r/pb1pbppp/1p2pn2/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 0 7,+15
rn1qk2r/pb1pbppp/1p2pn2/8/2Pp4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq - 0 8,+90
rn1qk2r/pb1pbppp/1p2pn2/8/2PQ4/2N2NP1/PP2PPBP/R1B2RK1 b kq - 0 8,+25
rn1q1rk1/pb1pbppp/1p2pn2/8/2PQ4/2N2NP1/PP2PPBP/R1B2RK1 w - - 1 9,+86
rn1q1rk1/pb1pbppp/1p2pn2/8/2PQ4/2N2NP1/PP2PPBP/R1BR2K1 b - - 2 9,+55
rn1q1rk1/pb2bppp/1p1ppn2/8/2PQ4/2N2NP1/PP2PPBP/R1BR2K1 w - - 0 10,+96
rn1q1rk1/pb2bppp/1p1ppn2/6B1/2PQ4/2N2NP1/PP2PPBP/R2R2K1 b - - 1 10,+7
rn1qnrk1/pb2bppp/1p1pp3/6B1/2PQ4/2N2NP1/PP2PPBP/R2R2K1 w - - 2 11,+134
rn1qnrk1/pb2Bppp/1p1pp3/8/2PQ4/2N2NP1/PP2PPBP/R2R2K1 b - - 0 11,+76
rn2nrk1/pb2qppp/1p1pp3/8/2PQ4/2N2NP1/PP2PPBP/R2R2K1 w - - 0 12,+110
rn2nrk1/pb2qppp/1p1pp3/8/2P4Q/2N2NP1/PP2PPBP/R2R2K1 b - - 1 12,+87
rn2nrk1/pb3ppp/1p1pp3/8/2P4q/2N2NP1/PP2PPBP/R2R2K1 w - - 0 13,+143
rn2nrk1/pb3ppp/1p1pp3/8/2P4N/2N3P1/PP2PPBP/R2R2K1 b - - 0 13,+112
rn2nrk1/p4ppp/1p1pp3/8/2P4N/2N3P1/PP2PPbP/R2R2K1 w - - 0 14,+124
rn2nrk1/p4ppp/1p1pp3/8/2P5/2N3P1/PP2PPNP/R2R2K1 b - - 0 14,+79
r3nrk1/p4ppp/1pnpp3/8/2P5/2N3P1/PP2PPNP/R2R2K1 w - - 1 15,+131
r3nrk1/p4ppp/1pnpp3/1N6/2P5/6P1/PP2PPNP/R2R2K1 b - - 2 15,+33
r3nrk1/p4ppp/1p1pp3/nN6/2P5/6P1/PP2PPNP/R2R2K1 w - - 3 16,+104
r3nrk1/p4ppp/1p1pp3/nN6/2P5/4N1P1/PP2PP1P/R2R2K1 b - - 4 16,+56
r3nrk1/pn3ppp/1p1pp3/1N6/2P5/4N1P1/PP2PP1P/R2R2K1 w - - 5 17,+107
r3nrk1/pn3ppp/1p1pp3/1N6/2P5/3RN1P1/PP2PP1P/R5K1 b - - 6 17,+40
